Language	System	provider	target_lang	source_sentences_all_speeds	valid_pairs_1p25x_vs_1x	xcomet_delta_mean_1p25x_vs_1x	tail_delta_mean_ms_1p25x_vs_1x	tail_delta_p50_ms_1p25x_vs_1x	tail_delta_p90_ms_1p25x_vs_1x	first_delta_p50_ms_1p25x_vs_1x	valid_pairs_1p5x_vs_1x	xcomet_delta_mean_1p5x_vs_1x	tail_delta_mean_ms_1p5x_vs_1x	tail_delta_p50_ms_1p5x_vs_1x	tail_delta_p90_ms_1p5x_vs_1x	first_delta_p50_ms_1p5x_vs_1x
En-De	GPT-realtime-translate	openai	de	468	467	0.003190587432277279	-824.3365207695961	-711.9429999999993	3136.944200000007	122.33900000003632	462	-0.023874750288275928	3003.9749740165967	-297.74383333331934	16534.53700000001	2003.8210000000036
En-De	Gemini 3.5-live-translate	gemini	de	468	467	0.04578719451640607	-20872.458369142612	-210.57400000008056	2806.993999999964	1477.563000000002	466	0.03833346052071311	-19448.392062909872	508.6503333333367	6139.940833333332	2609.429666666674
En-De	KIT Lecture Translator	kit	de	468	392	0.020364370558182805	-20148.178844736736	-17654.466499999966	-37.607199999996794	-15105.786999999968	392	0.026169697050841486	-29519.777868676872	-26325.21483333326	-2490.9974000000125	-22675.640833333382
En-Ja	GPT-realtime-translate	openai	ja	468	465	-0.021710475093574932	863.6190724696747	513.1569999999774	4879.036200000002	1062.1630000000005	452	-0.04168346519293511	5858.892662604719	3243.129333333294	17132.874366666663	4365.7464999999975
En-Ja	Gemini 3.5-live-translate	gemini	ja	468	468	0.05099245803987878	-24912.427219533336	-1811.4790000000066	2297.6892000000144	-810.0975000000035	466	0.05490040926206777	-21458.95322242346	-1079.399929833362	5449.301500000016	746.3500000000022
En-Ja	KIT Lecture Translator	kit	ja	468	380	-0.005070781550909343	-21875.747267079474	-20212.068500000016	1663.6640000000496	-17957.631999999983	383	0.011029251425602418	-30778.917568700606	-27476.70033333337	-3746.8481333333325	-23914.648333333316
En-Zh	GPT-realtime-translate	openai	zh	468	439	0.00996811087147793	2862.988251284283	-177.77899999998044	7685.387399999978	1236.0649999999878	408	-0.026359335336761148	9396.471202729575	6350.888166666671	29439.998300000017	6815.259333333328
En-Zh	Gemini 3.5-live-translate	gemini	zh	468	468	0.03143323372062455	-2680.3969481658105	707.9900000000052	40535.96900000004	2264.8120000000054	468	0.04920768737792969	-16023.555654521366	-1022.8861516666657	1861.413200000013	1218.753833333336
En-Zh	KIT Lecture Translator	kit	zh	468	386	0.019537874068003246	-8917.592621577203	-16751.601999999955	8108.269999999997	-13871.85050000003	385	0.013419722105291756	-27861.084278687442	-26943.1736666667	-4139.924800000004	-21704.160666666663
