run	provider	chunk_ms	speed_factor	rows	api_errors	BLEU	MASKED_TERMS_BLEU	StreamLAAL	StreamLAAL_CA	TERM_ACC	TERM_ADOPTION
acl6060_live_gemini_chunk960_speed1	gemini	960	1.0	5	0	48.229750	42.656230	2428.818898	2531.410752	0.747200	0.586667
acl6060_live_gemini_chunk960_speed1p5	gemini	960	1.5	5	0	48.766796	44.503119	-2879.656075	-2880.975392	0.758400	0.486667
acl6060_live_gemini_chunk1920_speed1	gemini	1920	1.0	5	0	47.487892	41.642181	34963.070447	35119.305790	0.746100	0.666667
acl6060_live_gemini_chunk1920_speed1p5	gemini	1920	1.5	5	0	47.150877	42.975010	-2850.625297	-2852.579921	0.725800	0.436667
acl6060_live_openai_chunk960_speed1	openai	960	1.0	5	0	35.599569	29.701218	4403.720703	4414.628145	0.740400	0.476667
acl6060_live_openai_chunk960_speed1p5	openai	960	1.5	5	0	33.138071	27.616043	-2649.876038	-2651.591577	0.676400	0.436667
acl6060_live_openai_chunk1920_speed1	openai	1920	1.0	5	0	35.104149	29.483679	4695.663065	4690.100013	0.709000	0.566667
acl6060_live_openai_chunk1920_speed1p5	openai	1920	1.5	5	0	32.553760	27.758536	-2619.639999	-2624.533844	0.642700	0.486667
